url,author,date,file,headline,processed
https://www.laweekly.com/03-greedo-proposes-to-his-girl-onstage-at-his-last-show-before-prison/,Shirley Ju,2018-06-28,19058.txt,03 Greedo Proposes to His Girl Onstage at His Last Show Before Prison,1.0
https://www.laweekly.com/1-dead-4-wounded-in-broad-daylight-shootings-on-the-westside/,Dennis Romero,2015-04-16,49887.txt,"1 Dead, 4 Wounded in Broad-Daylight Shootings on the Westside",1.0
https://www.laweekly.com/1-in-10-l-a-residents-have-had-stuff-taken-by-cops/,Dennis Romero,2016-05-27,38521.txt,1 in 10 L.A. Residents Have Had Stuff Taken by Cops,1.0
https://www.laweekly.com/1-million-in-shoes-stolen-recovered/,Dennis Romero,2017-08-11,30250.txt,"$1 Million in Shoes Stolen, Recovered",1.0
https://www.laweekly.com/1-nutella-panini-at-bacari-mixing-mezcal-at-salazar-and-a-lunar-new-year-feast-at-hip-hot/,Anne Hamner,2019-02-01,13559.txt,"$1 Nutella Panini at Bacari, Mixing Mezcal at Salazar and a Lunar New Year Feast at Hip Hot",1.0
https://www.laweekly.com/1-oysters-in-los-angeles-every-day-of-the-week/,Besha Rodell,2017-08-04,30031.txt,$1 Oysters in Los Angeles Every Day of the Week,1.0
https://www.laweekly.com/1-oysters-in-los-angeles-for-any-day-of-the-week/,Besha Rodell,2015-12-07,56456.txt,$1 Oysters in Los Angeles for Any Day of the Week,1.0
https://www.laweekly.com/1-puff-redefines-the-cannabis-vape-experience/,Sponsored by Delta 9,2019-02-05,13653.txt,1 PUFF Redefines the Cannabis Vape Experience,1.0
https://www.laweekly.com/10-acts-to-look-out-for-at-the-african-american-festival/,Brett Callwood,2019-02-22,14123.txt,10 Acts to Look Out for at the African-American Festival,1.0
https://www.laweekly.com/10-actually-cool-things-to-do-with-out-of-towners-visiting-l-a/,Liz Ohanesian,2016-03-01,35448.txt,10 Actually Cool Things to Do With Out-Of-Towners Visiting L.A.,1.0
https://www.laweekly.com/10-amazing-l-a-toy-stores-for-kids-and-grownups/,Liz Ohanesian,2015-12-07,56459.txt,10 Amazing L.A. Toy Stores for Kids and Grownups,1.0
https://www.laweekly.com/10-angelenos-who-make-l-a-a-better-place/,Kate Durocher,2017-05-18,27563.txt,10 Angelenos Who Make L.A. a Better Place,1.0
https://www.laweekly.com/10-art-galleries-that-dont-care-about-your-low-key-holiday-weekend/,Shana Nys Dambrot,2018-07-06,19225.txt,10 Art Galleries That Don’t Care About Your Low-Key Holiday Weekend,1.0
https://www.laweekly.com/10-artists-to-see-at-music-tastes-good/,Brett Callwood,2018-09-28,20866.txt,10 Artists to See at Music Tastes Good,1.0
https://www.laweekly.com/10-artists-who-started-their-own-label/,Morat,2019-03-15,14635.txt,10 Artists Who Started Their Own Label,1.0
