url,headline,date,author,category,file
https://www.advocate-news.com/2020/04/26/living-with-dying-joan-heron,Living With Dying: Joan Heron,2020-04-26,Contributed,Uncategorized,2020-04-26-ef93a.txt
https://www.advocate-news.com/2020/02/04/fort-bragg-mendocino-area-spiritual-notices-3,Fort Bragg-Mendocino area spiritual notices,2020-02-04,Fort Bragg Advocate-News,Things To DoLifestyle,2020-02-04-8463a.txt
https://www.advocate-news.com/2020/01/09/labor-and-delivery-the-elephant-in-mcdhs-board-room,Labor and Delivery: the elephant in MCDH’s board room,2020-01-09,Fort Bragg Advocate-News,Uncategorized,2020-01-09-001c2.txt
https://www.advocate-news.com/2020/02/04/rec-district-mens-league-play-underway,Rec District Men’s League play underway,2020-02-04,Tony Anderson,Local News,2020-02-04-d028a.txt
https://www.advocate-news.com/2020/02/04/krenov-schools-annual-midwinter-exhibition-showcases-fine-woodworking-students,Krenov School’s Annual Midwinter Exhibition showcases fine woodworking students,2020-02-04,Contributed,Things To DoEntertainment,2020-02-04-8b3bd.txt
https://www.advocate-news.com/2020/06/04/2704904,Mendocino Coast Writers’ Conference will go digital this year,2020-06-04,Lindsay Oxford,Uncategorized,2020-06-04-0e7ac.txt
https://www.advocate-news.com/2020/01/30/mendocino-counts-2020-census-website-will-launch-in-march,‘Mendocino Counts! 2020 Census’ website will launch in March,2020-01-30,Contributed,Latest Headlines,2020-01-30-ac8ac.txt
https://www.advocate-news.com/2019/10/17/rape-suspect-released-city-announces-new-security-plan-for-coastal-trail,Rape suspect released; city announces new security plan for Coastal Trail,2019-10-17,City of Fort Bragg,NewsCrime and Public Safety,2019-10-17-25678.txt
https://www.advocate-news.com/2020/02/04/mendocino-coast-calendar-of-events-63,Mendocino Coast calendar of events,2020-02-04,Fort Bragg Advocate-News,Local News,2020-02-04-8949c.txt
https://www.advocate-news.com/2019/12/05/local-man-arrested-after-hwy-1-chase,Local man arrested after Hwy 1 chase,2019-12-05,Fort Bragg Advocate-News,NewsCrime and Public Safety,2019-12-05-e85d8.txt
https://www.advocate-news.com/2019/11/21/noyo-high-heads-to-hamilton,"Noyo High heads to ‘Hamilton’Students use Hamilton Education Program grant to learn about the Founders, then head to the Orpheum Theater in S.F.",2019-11-21,Emily McPhail,NewsEducation,2019-11-21-01025.txt
https://www.advocate-news.com/2019/11/27/school-trustees-send-bond-measure-to-march-ballot,School trustees send bond measure to March ballot,2019-11-27,Fort Bragg Advocate-News,NewsEducation,2019-11-27-b6b48.txt
https://www.advocate-news.com/2020/01/23/statewide-tests-local-students-fort-bragg-high-school,"Statewide tests, local kids: Fort Bragg High School",2020-01-23,Mary Benjamin,NewsEducation,2020-01-23-db235.txt
https://www.advocate-news.com/2020/02/04/sea-dragons-season-begins-with-strong-showing-at-santa-rosa-meet,Sea Dragons’ season begins with strong showing at Santa Rosa meet,2020-02-04,Contributed,Latest Headlines,2020-02-04-9cb6e.txt
https://www.advocate-news.com/2020/02/06/timberwolf-stadium-funding-hoped-for,Timberwolf Stadium funding hoped for,2020-02-06,Mary Benjamin,Latest Headlines,2020-02-06-546de.txt
https://www.advocate-news.com/2020/07/29/telehealth-may-offer-alternative-to-in-person-healthcare,Telehealth may offer alternative to in-person healthcare,2020-07-29,Ashley Hayes-Stone,Uncategorized,2020-07-29-99d40.txt
https://www.advocate-news.com/2019/12/05/season-of-sharing-fort-bragg-food-bank-a-family-of-volunteers,Season of Sharing: Fort Bragg Food Bank – A family of volunteers,2019-12-05,Debbie L. Holmer,Latest Headlines,2019-12-05-f3a49.txt
https://www.advocate-news.com/2020/01/16/opus-series-gershwin-in-store,Opus Series: Gershwin in store,2020-01-16,Chris Calder,Things To DoEntertainment,2020-01-16-b3619.txt
https://www.advocate-news.com/2020/08/13/the-art-business-hangs-on-during-pandemic,The art of hanging onThe north coast’s world-famous artists find creative ways to prosper in a pandemic,2020-08-13,Michelle Blackwell,Uncategorized,2020-08-13-7e86c.txt
https://www.advocate-news.com/2019/12/19/local-man-found-deceased-downtown,"Local man found deceased downtownCity government, churches, volunteers put together shelter in a day",2019-12-19,Fort Bragg Advocate-News,Local NewsCommunity,2019-12-19-a1511.txt
https://www.advocate-news.com/2019/10/03/hundreds-join-in-on-coastal-cleanup,"Hundreds join in on Coastal CleanupTon and a half of trash collected in Mendocino County, more than 250 tons statewide",2019-10-03,Fort Bragg Advocate-News,NewsEnvironment,2019-10-03-c410b.txt
https://www.advocate-news.com/2019/11/21/school-board-to-vote-on-bond-measure,School board to vote on bond measure Nov. 21,2019-11-21,Chris Calder,NewsEducation,2019-11-21-a2bd7.txt
https://www.advocate-news.com/2020/01/30/visiting-teachers-find-inspiration-at-middle-school,Visiting teachers find inspiration at Middle School,2020-01-30,Mary Benjamin,NewsEducation,2020-01-30-8acc9.txt
https://www.advocate-news.com/2020/03/16/mendocino-sheriff-implements-new-safety-measures,Mendocino Sheriff implements new safety measuresFingerprinting suspended; non-emergency calls conducted over phone,2020-03-16,Mendocino County Sheriff's Office,Uncategorized,2020-03-16-c9c35.txt
https://www.advocate-news.com/2020/04/16/letters-to-the-editor-gleeson,Letters to the Editor: Gleeson,2020-04-16,Robin Epley,Uncategorized,2020-04-16-3a07b.txt
https://www.advocate-news.com/2020/04/18/rack-em-up-3,Rack ‘em up!,2020-04-18,Mike Bohanon,SportsLocal Sports,2020-04-18-7534b.txt
https://www.advocate-news.com/2020/06/02/graduation-parade-will-go-through-town,Graduation parade will go through town,2020-06-02,Fort Bragg Advocate-News,Uncategorized,2020-06-02-a35e5.txt
https://www.advocate-news.com/2019/10/17/glorianas-really-rosie-makes-the-most-of-local-talent,Gloriana’s ‘Really Rosie’ makes the most of local talent,2019-10-17,Chris Calder,Things To DoEntertainment,2019-10-17-45825.txt
https://www.advocate-news.com/2019/12/26/fort-bragg-man-arrested-for-felony-vandalism,Fort Bragg man arrested for felony vandalism,2019-12-26,Mary Benjamin,NewsCrime and Public Safety,2019-12-26-634e2.txt
https://www.advocate-news.com/2019/12/12/school-board-will-cover-finances-student-progress,"School board will cover finances, student progress",2019-12-12,Mary Benjamin,NewsEducation,2019-12-12-c17fb.txt
https://www.advocate-news.com/2020/05/26/coronavirus-101st-fort-bragg-firemans-ball-canceled,Coronavirus: 101st Fort Bragg Fireman’s Ball canceled,2020-05-26,Contributed,Uncategorized,2020-05-26-ae758.txt
https://www.advocate-news.com/2020/01/16/school-board-readying-for-contract-talks,School board readying for contract talks,2020-01-16,Mary Benjamin,NewsEducation,2020-01-16-caff2.txt
https://www.advocate-news.com/2019/10/17/council-roundup-elections-review-garbage-fee-hike-columbus-or-indigenous-millsite-trees,"Council roundup: elections review, garbage fee hike, Columbus or Indigenous, millsite trees",2019-10-17,Fort Bragg Advocate-News,Local News,2019-10-17-cfb8f.txt
https://www.advocate-news.com/2020/01/23/rec-district-honors-lisa-colvin-for-her-many-years-of-service,Rec District honors Lisa Colvin for her many years of service,2020-01-23,Contributed,Latest Headlines,2020-01-23-03ae1.txt
https://www.advocate-news.com/2019/10/03/2681208,Redwood Investments founder honoredCatone explains why Fort Bragg is just the right fit for a $1.5 billion firm,2019-10-03,Chris Calder,Business,2019-10-03-7f7d4.txt
https://www.advocate-news.com/2020/06/05/letters-to-the-editor-shandel,Letters to the Editor: Shandel,2020-06-05,Fort Bragg Advocate-News,Uncategorized,2020-06-05-45cc1.txt
https://www.advocate-news.com/2019/10/31/arts-entertainment-6,Arts + Entertainment,2019-10-31,Fort Bragg Advocate-News,Latest Headlines,2019-10-31-c191b.txt
https://www.advocate-news.com/2020/02/04/golf-notes,Golf Notes,2020-02-04,Kate Lee,SportsGolf,2020-02-04-a8249.txt
https://www.advocate-news.com/2020/08/19/sherwood-outbreak-seems-stable-says-doctors,"Sherwood outbreak seems stable, says doctors24 residents and eight staff infected, seven dead",2020-08-19,Robin Epley,Uncategorized,2020-08-19-addb5.txt
https://www.advocate-news.com/2019/12/12/city-council-roundup-police-chief-announces-may-departure-new-campground-tax-discussed,City council roundup: Police Chief announces May departure; new campground tax discussed,2019-12-12,Chris Calder,Local News,2019-12-12-c3d51.txt
https://www.advocate-news.com/2020/09/29/county-discusses-covid-updates-fire-safety-and-cannabis,"County discusses COVID updates, fire safety and cannabis",2020-09-29,Jennah Booth,Uncategorized,2020-09-29-63b34.txt
https://www.advocate-news.com/2020/06/17/the-miller-report-relaxing-and-reopening,The Miller Report: Relaxing and reopening,2020-06-17,Tabatha Miller,Uncategorized,2020-06-17-664b7.txt
https://www.advocate-news.com/2020/01/02/deputies-arrest-two-for-alleged-felony-offenses,Deputies arrest two for alleged felony offenses,2020-01-02,Mary Benjamin,Local News,2020-01-02-073dc.txt
https://www.advocate-news.com/2019/10/17/retail-cannabis-regs-get-initial-council-ok,"Retail cannabis regs get initial council OKOn-site consumption, no limits to licenses, no “sensitive site” rules part of current version",2019-10-17,Chris Calder,Local News,2019-10-17-8a2c6.txt
https://www.advocate-news.com/2019/12/26/what-kind-of-care-do-you-want-when-the-time-comes,What kind of care do you want when the time comes?,2019-12-26,Rebecca Yaffe,NewsHealth,2019-12-26-9d0c0.txt
https://www.advocate-news.com/2019/10/03/2681266,Town Hall meetings on MCDH affiliation,2019-10-03,Fort Bragg Advocate-News,Local NewsCommunity,2019-10-03-86208.txt
https://www.advocate-news.com/2019/10/03/2680712,"‘A Doll’s House, Part 2’: what became of Nora",2019-10-03,Kymberly Ainsworth,Things To DoEntertainment,2019-10-03-aa69d.txt
https://www.advocate-news.com/2020/01/30/crab-feed-celebrates-community-helps-rotary-and-sports-foundation-meet-their-missions,"Crab Feed celebrates community, helps Rotary and Sports Foundation meet their missions",2020-01-30,Mary Benjamin,Latest Headlines,2020-01-30-13479.txt
